nome,perfil_risco,Idade,Renda,TempoDeRelacao,TicketMedioInvestido,QtdProdutosNaCarteira,PerfilRisco,Pais,TaxaJuros,HistoricoInvestimentoESG,EngajamentoESG,ConhecimentoESG,PreocupacaoAmbiental,AcessouPagESG,LeuArtigoESG,ParticipouWebinarESG,AssessorESGAtivo,NPS_ESG,ValorAlocadoESG,propensao_esg,ESG_Label_Predito,faixa_propensao,categoria_produto,vence_em_dias,produtos_esg,valor_em_caixa,Renda Fixa,Multimercado,ETF,Renda Variável,Caixa,ValorEmCaixa
Natália 1822,Conservador,56,8590.452935703586,105,1042477.0249380359,8,1,EUA,13.75,0,3,1,2,0,0,0,0,1,0.0,0.0,0,,Caixa,611,0,137942.00467661917,0.05568618367460836,0.17272310355317427,0.11393503861544503,0.03595175011092951,0.6217039240458428,137942.00467661917
Luca 3738,Moderado,69,13901.462442768041,81,701464.586580267,19,1,Brasil,5.0,1,14,3,3,1,0,1,0,9,14174.757760390272,0.75,1,Média,Renda Fixa,213,1,49093.058829799105,0.36565449712397335,0.21685404325726101,0.17919222636985363,0.1509333623814462,0.08736587086746583,49093.058829799105
Rafael 9814,Agressivo,46,14529.816866569203,50,1282752.0079308413,17,0,Brasil,13.75,0,3,3,4,0,0,0,0,1,0.0,0.0,0,,Caixa,1006,0,108493.8779363427,0.07421631312884891,0.0013272914908488253,0.06595070563797759,0.21278097731558862,0.645724712426736,108493.8779363427
Felipe 6195,Moderado,32,10103.28729958414,61,897295.910410537,9,0,Brasil,13.75,0,2,2,3,0,0,0,0,1,0.0,0.0,0,,Renda Fixa,226,0,15940.12369200545,0.28094864748935783,0.28246265136603943,0.03449722420653616,0.17527675301429957,0.22681472392376711,15940.12369200545
Vinicius 9956,Moderado,60,8912.912170428499,115,172067.32597064646,16,0,Brasil,13.75,0,1,1,1,0,0,0,0,0,0.0,0.0,0,,ETF,438,0,132895.77090638658,0.04998501468034791,0.16108070663086632,0.1841023736543548,0.28002946554128233,0.3248024394931486,132895.77090638658
Bianca 8472,Conservador,25,18438.08266310389,13,761840.1098605429,9,0,Brasil,5.0,0,3,2,2,0,0,0,0,1,0.0,0.0,0,,ETF,945,0,66607.41335262914,0.36434304125809047,0.13928017930639294,0.032931967711714714,0.053634275175029646,0.4098105365487723,66607.41335262914
Fernanda 9865,Moderado,38,12909.983502928215,12,1988203.5547181566,19,2,Brasil,13.75,0,6,1,1,1,0,0,0,3,0.0,0.1,0,Baixa,Renda Variável,987,0,121539.00064144898,0.19372840489202792,0.21994645046668207,0.1071246685368357,0.11220072612787423,0.36699974997658014,121539.00064144898
Carlos 8921,Agressivo,56,14543.871002846952,29,106538.62135231154,16,2,Brasil,13.75,1,12,3,4,0,1,0,0,7,25741.243069884003,0.5,1,Média,Multimercado,649,0,36350.23246122548,0.21276432407423806,0.0504218494374461,0.05724054362183393,0.06606664895416606,0.6135066339123159,36350.23246122548
Camila 5495,Moderado,36,8711.69595268829,85,1396367.1546828442,13,0,EUA,5.0,1,13,5,5,1,1,1,1,8,71708.59048988177,1.0,1,Alta,Caixa,740,1,108716.83123251986,0.03338153524932106,0.2977331584580974,0.02491337557264848,0.04294549279706312,0.6010264379228699,108716.83123251986
Amanda 2844,Conservador,40,7122.862133911225,84,1683965.5230917817,19,0,EUA,13.75,0,1,3,2,0,1,1,0,0,0.0,0.35,0,Baixa,ETF,785,1,76532.30889473634,0.10326517748727673,0.10258554971495834,0.061898314200583185,0.03870712785026435,0.6935438307469174,76532.30889473634
Letícia 5101,Moderado,28,9722.200902031558,20,1300964.5479160037,5,2,Brasil,5.0,0,0,2,3,0,0,0,0,1,0.0,0.0,0,,Renda Fixa,1070,0,136480.2120669551,0.39081177402199513,0.10051465498850408,0.000237011722085545,0.23899558327436476,0.2694409759930505,136480.2120669551
Tiago 1223,Moderado,28,11503.914450440012,31,1143798.980014947,2,0,Brasil,13.75,0,7,2,2,0,0,0,0,5,0.0,0.0,0,,Caixa,536,0,106376.87379176554,0.211411300680859,0.1975247374974766,0.03652284575823335,0.18162575894476016,0.37291535711867096,106376.87379176554
Juliana 2259,Conservador,41,7743.119972730605,8,1418033.2897877274,4,2,EUA,5.0,0,0,3,3,1,0,0,1,0,0.0,0.30000000000000004,0,Baixa,Renda Fixa,1010,0,26912.767769496553,0.24353175005025146,0.2000691738138605,0.07981140119365755,0.06767870334534845,0.408908971596882,26912.767769496553
Letícia 1683,Moderado,53,11960.620765398467,24,864392.0472263148,12,0,EUA,13.75,1,8,3,4,1,0,0,1,4,75413.02616666473,0.55,1,Média,ETF,834,1,60258.11916332517,0.09064545320710922,0.2795061844366067,0.08361017432541636,0.030569710855594276,0.5156684771752735,60258.11916332517
Tiago 2530,Moderado,57,5245.979247726,75,191809.85724466474,18,1,EUA,5.0,1,13,3,3,0,0,1,0,9,97256.40244156735,0.65,1,Média,Caixa,685,1,56221.088677568485,0.34040819867954825,0.17372705806936817,0.09403112742794573,0.15765991371333257,0.23417370210980537,56221.088677568485
Vinicius 2137,Agressivo,41,7519.8103101205115,39,1925119.7910637297,3,1,Brasil,13.75,0,5,2,2,0,0,0,0,2,0.0,0.0,0,,Renda Variável,94,0,46143.24539364266,0.19457137838568955,0.28398678734002253,0.006473330772776298,0.17185972932302632,0.3431087741784853,46143.24539364266
Bianca 6892,Conservador,20,14683.6449931075,33,870278.5322685502,19,0,EUA,5.0,0,6,2,3,0,0,0,0,3,0.0,0.0,0,,Caixa,765,0,91939.71570391848,0.354096820697545,0.08095628020823593,0.09635472096108005,0.15740036477799055,0.31119181335514845,91939.71570391848
Camila 9999,Moderado,39,14415.162081111577,42,1334124.581964355,4,0,EUA,13.75,0,7,3,4,0,0,0,0,4,0.0,0.0,0,,Caixa,1073,0,89239.05721798498,0.28389231994173975,0.273262387169935,0.1137119993264812,0.0396424531169074,0.28949084044493667,89239.05721798498
Amanda 6248,Moderado,19,10432.492938452535,15,1067307.7694096975,4,1,Brasil,13.75,1,14,5,5,1,1,0,1,10,13832.592496158777,1.0,1,Alta,Renda Variável,1092,1,19084.65362627438,0.24062001897637397,0.22773203369167627,0.029633539249880148,0.15126973029628282,0.3507446777857868,19084.65362627438
Natália 2892,Agressivo,41,7928.942763692188,68,118799.41323533356,16,1,EUA,13.75,1,9,5,5,1,0,0,1,6,7273.274586346962,0.6499999999999999,1,Média,Renda Variável,407,1,136332.97514003466,0.26157078804603157,0.042678300388857705,0.12712480545262267,0.2274353034418522,0.34119080267063584,136332.97514003466
Natália 1196,Agressivo,61,7890.385793895956,65,1905965.7359751516,11,1,EUA,13.75,0,2,1,1,0,1,0,0,1,0.0,0.15,0,Baixa,Renda Variável,657,0,56916.45741875705,0.2862670990005563,0.00013102523474548545,0.11756613882371936,0.25670181607595777,0.339333920865021,56916.45741875705
Natália 7407,Moderado,47,10506.927016234744,32,1587149.0799675034,13,0,Brasil,13.75,0,2,2,3,0,0,1,0,2,0.0,0.2,0,Baixa,Renda Fixa,260,0,137040.39934658547,0.3367616645158801,0.07910145323550168,0.055713220794314226,0.1039649513027221,0.424458710151582,137040.39934658547
